CITY,OBJECTID,Join_Count,TARGET_FID,FID_CHN_with_TWN,DZCODE,CITY_NAME_,ROW_ID_279,ID_GIS,CITY_NAME2,Id,dzcode_1,coord_long,coord_lat,pos_x,pos_y,cityname_c,cityname_e,cpop2000,cpop2010,upop2000,upop2010,cityclass,Area_km2,Shape_Length,Shape_Area,Cohesion,nCohesion,Cohesion_km,Proximity,nProximity,Spin,nSpin,Range,nRange
630100,186,1,2190,232,6301,Xining,272,9997,Xining,7439,6301,101.77,36.56,5532,4413,"瑗垮畞甯?,Xining""",184.9713,220.8708,102.475,140.6894,4,0,183.5280229,76945.15126,183528022.9,8421.210344,0.821754766,8.421210344,6129.390123,0.831319052,45753247.73,0.638411337,24992.13424,0.611649898
350600,39,1,723,45,3506,Zhangzhou,112,9791,Zhangzhou,11529,3506,117.65,24.52,8484,7060,"婕冲窞甯?,Zhangzhou""",458.1675,480.9983,160.7608,224.7564,4,0,185.7372378,72000.86686,185737237.8,9090.649082,0.765808446,9.090649082,6606.588641,0.775900496,57074945.12,0.517933034,30079.88391,0.511244201
330400,254,1,2968,335,3304,jiaxing,83,10100,Jiaxing,9828,3304,120.77,30.75,8957,5648,"鍢夊叴甯?,Jiaxing""",358.2996,450.17,136.0825,240.0663,4,0,189.7671248,64195.33687,189767124.8,7758.557939,0.906974413,7.758557939,5641.479677,0.918441006,38249061.98,0.789623964,23721.51972,0.655274156
321300,143,1,1710,177,3213,Suqian,79,9931,Suqian,8631,3213,118.23,33.95,8427,4989,"瀹胯縼甯?,Suqian""",506.1576,471.56,128.9682,227.8812,4,0,192.120632,54932.39193,192120632,7256.400178,0.97573376,7.256400178,5317.732053,0.980379807,32291828.02,0.946894311,19270.70262,0.811604625
371000,209,1,2384,256,3710,Weihai,136,10021,Weihai,7012,3710,122.12,37.52,9022,4134,"濞佹捣甯?,Weihai""",259.6753,280.48,129.1155,163.2787,4,0,195.7269743,98163.48308,195726974.3,10992.81682,0.650102601,10.99281682,8315.867102,0.632778341,81264688.88,0.383326582,30505.90572,0.517483464
340200,30,1,238,33,3402,Wuhu,92,9779,Wuhu,9571,3402,118.38,31.33,8503,5563,"鑺滄箹甯?,Wuhu""",211.5421,226.3,90.4872,147.5022,4,0,203.6854972,68178.70298,203685497.2,8361.209331,0.871919742,8.361209331,6117.144045,0.877536423,45408495.43,0.713909444,25116.40506,0.641176556
211100,178,1,2111,215,2111,Panjin,44,9969,Panjin,5329,2111,122.07,41.12,8916,3345,"鐩橀敠甯?,Panjin""",126.1753,139.25,73.4623,91.8461,3,0,216.9723138,81800.397,216972313.8,10680.19155,0.70451245,10.68019155,7728.049619,0.716912352,79691348.1,0.433324534,36771.20833,0.452011327
450200,69,1,1200,82,4502,Liuzhou,206,9836,Liuzhou,11557,4502,109.39,24.28,6833,7170,"鏌冲窞甯?,Liuzhou""",209.984,375.87,125.5841,216.6882,4,0,227.6217736,59879.70242,227621773.6,7946.961557,0.969775802,7.946961557,5823.722248,0.97440623,38807049.43,0.933519321,20144.63617,0.845089163
140200,215,1,2619,262,1402,Datong,15,10027,Datong,5829,1402,113.3,40.08,7500,3684,"澶у悓�?,Datong""",300.1508,331.81,130.5923,182.2112,4,0,231.5911629,66206.01891,231591162.9,8693.963146,0.894146644,8.693963146,6421.184814,0.891414361,48990442.04,0.752368765,25521.35683,0.672840758
650200,243,1,2823,302,6502,Kalamay,279,10067,Karamay,3633,6502,84.87,45.6,3154,2001,"鍏嬫媺鐜涗緷�?,Karamay""",27.0232,39.1008,27.0232,35.3299,2,0,235.9810206,81646.40772,235981020.6,9633.940596,0.814516952,9.633940596,7033.37876,0.821501454,60933881.89,0.616365555,29689.45068,0.583836758
220200,165,1,1868,199,2202,Jilin,49,9953,Jilin,4195,2202,126.51,43.85,9531,2650,"鍚夋灄甯?,Jilin""",448.5494,441.47,248.188,248.6066,4,0,242.8810541,74990.41386,242881054.1,9458.331392,0.841681627,9.458331392,6913.35413,0.847894504,58667995.27,0.658889402,28919.97978,0.608070443
410300,103,1,1503,129,4103,Luoyang,146,9883,Luoyang,8375,4103,112.45,34.62,7390,4896,"娲涢槼甯?,Luoyang""",622.7665,654.9486,187.0406,288.8355,4,0,243.7873369,63115.61106,243787336.9,8209.285131,0.971551407,8.209285131,6044.196089,0.97162981,41756329.21,0.929199488,21750.93228,0.809995777
210300,168,1,1898,205,2103,Anshan,36,9959,Anshan,5305,2103,122.98,41.1,9064,3331,"闉嶅北甯?,Anshan""",358.4039,364.59,220.4629,244.9061,4,0,260.4494809,68277.02375,260449480.9,8582.837926,0.960497835,8.582837926,6287.832808,0.965371709,45748911.64,0.906072316,24152.96055,0.753956753
321200,145,1,1744,179,3212,Taizhou,78,9933,Taizhou,9207,3212,119.92,32.45,8761,5291,"娉板窞甯?,Taizhou4""",478.5759,461.86,188.6081,257.0087,4,0,261.1572441,99883.0399,261157244.1,12590.43458,0.655655746,12.59043458,9351.018813,0.650018792,113077933.6,0.367573628,39575.8218,0.460761471
370700,208,1,2374,255,3707,Weifang,133,10020,Weifang,7395,3707,119.15,36.7,8534,4369,"娼嶅潑甯?,Weifang""",849.53,908.62,344.8012,426.6496,5,0,262.8083401,68382.67287,262808340.1,8524.724221,0.971414959,8.524724221,6252.383475,0.97523161,44697895.16,0.935776646,22721.80849,0.805066464
440700,12,1,108,13,4407,jiangmen,192,9812,Jiangmen,11976,4407,113.05,22.56,7578,7533,"姹熼棬甯?,Jiangmen""",395.6827,444.8871,186.6158,277.2734,4,0,263.3353875,92292.74161,263335387.5,10285.78128,0.805903201,10.28578128,7535.946962,0.809935777,69801759.24,0.600430835,32238.64459,0.567979809
340300,18,1,177,19,3403,Bangbo,93,9765,Bengbu,8960,3403,117.38,32.9,8292,5232,"铓屽煚甯?,Bengbu""",328.8329,316.4,101.0127,137.3554,4,0,264.9740256,81766.72514,264974025.6,9205.303795,0.903293905,9.205303795,6707.694925,0.912771674,54306555.43,0.776553137,28396.70963,0.64682782
320700,140,1,1673,174,3207,Lianyungang,73,9928,Lianyungang,8381,3207,119.22,34.6,8590,4830,杩炰簯娓競,Lianyungang,456.9913,439.39,128.0345,227.3872,4,267.4358089,111209.0779,267435808.9,12752.73248,0.655046429,12.75273248,9738.169199,0.631635117,110523713.3,0.385109491,35496.28504,0.519854652
610400,193,1,2224,240,6104,Xianyang,253,10005,Xianyang,8561,6104,108.7,34.33,6723,4964,"鍜搁槼甯?,Xianyang""",488.6003,469.4634,161.8288,206.3586,4,0,275.7049384,102537.629,275704938.4,10369.86833,0.817927075,10.36986833,7521.108507,0.830374919,70861102.63,0.619236819,38565.17636,0.485827406
130200,86,1,1400,107,1302,Tangshan,4,9861,Tangshan,6049,1302,118.18,39.59,8314,3746,"鍞愬北甯?,Tangshan""",704.0554,757.73,226.5605,385.0975,5,0,276.6742076,70936.78846,276674207.6,9421.974488,0.901795299,9.421974488,6907.577615,0.905716685,57257392.1,0.769054722,28323.88382,0.662653647
440500,53,1,877,63,4405,Shantou,190,9817,Shantou,11759,4405,116.68,23.35,8308,7327,"姹曞ご甯?,Shantou""",467.1279,539.1028,312.9771,368.9655,5,0,279.1648895,72904.55044,279164889.5,9238.15463,0.923869702,9.23815463,6794.877927,0.924873943,53941305.91,0.823681803,26198.95184,0.71961721
320900,148,1,1782,182,3209,Yancheng,75,9936,Yancheng,8817,3209,120.15,33.35,8783,5089,"鐩愬煄甯?,Yancheng""",794.6544,726.02,282.9848,377.2779,5,0,282.5061627,64245.68251,282506162.7,8699.594824,0.986916684,8.699594824,6388.21643,0.989619277,46242553.18,0.97231336,22622.24754,0.838365257
460100,76,1,1277,96,4601,Haikou,219,9850,Haikou,12297,4601,110.31,20.03,7020,8085,"娴峰彛甯?,Haikou""",83.0192,204.6189,75.764,151.741,4,0,285.3846249,85452.07624,285384624.9,10535.63404,0.819068385,10.53563404,7616.436463,0.83425202,73347317.2,0.619250648,34986.21201,0.544845567
350300,37,1,581,41,3503,Putian,109,9787,Putian,11306,3503,119,25.43,8735,6841,"鑾嗙敯甯?,Putian""",272.7923,277.8508,79.5549,141.1015,4,0,286.7602821,96480.16827,286760282.1,10722.29071,0.806747216,10.72229071,7963.204289,0.799844286,73213579.57,0.623372285,27101.27022,0.70505811
620100,45,1,803,52,6201,Lanzhou,260,9798,Lanzhou,7725,6201,103.85,36,5883,4563,"鍏板窞甯?,Lanzhou""",314.2523,361.6163,207.09,275.8558,4,0,289.4174991,85562.19719,289417499.1,11577.12856,0.750632028,11.57712856,8572.303423,0.74644646,91771769.64,0.501921514,36486.2425,0.526124241
